reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,sortOrder,appId
lg:AOqpTOGlwWcVEMygK7jWNYeoRe9cSGVu4PTiIu90v0MSGyWOQwUZbHYURSlFJda4ZEZaknA5F3FoWt8Tauhc5bc,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Works great on my Galaxy S. Worked a few times on the Nexus 7 but then wouldn't let me type in the PIN code. Uninstalled and reinstalled and now can't enter the CRN. Please fix.,1,0,2.0.0,2012-09-22 11:18:12,"Hey there, our latest update provides further support to Android tablets. Download the update and let me know how it goes for you. Cheers ^Leon",2013-03-28 09:35:05,most_relevant,com.anz.android.gomoney
lg:AOqpTOEmj7nWGL3Sc7sCi0Vlf5lc_-FsA490N7qn74N-7rrmFG2-0zNijvHWPN9SWI4ECIbQqB_dgcUcdYA0uS4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Always says u have exceeded daily limit even when u have not done any transfer,1,0,2.0.0,2012-11-16 17:48:24,,,most_relevant,com.anz.android.gomoney
lg:AOqpTOEZwnQLAWdfKc58E9hewKI3JsnPG9ckvLWiDp5lIkbvACe-VsDHXmKgW34GRMb7WIpr5tgX6JtnTGIILPU,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Nice idea. Needs functionality for android phones with smaller screens.,1,0,2.0.0,2012-11-12 16:23:49,"Hey Matt, we have fixed the small phone compatibility issue with our latest update. If you haven't done so already, download the update and see how it works for you. If you have any other questions, shoot me an email at mobile@anz.com. Thanks ^Leon",2013-03-28 06:57:55,most_relevant,com.anz.android.gomoney
gp:AOqpTOEWrkZ23iXeXYJ1PrswIX-fbeYLUrvkgOExvdPY4FTLL6_Fq97CymQJ4_n5jXRwSAeOVQ7liBF64eydTyc,Joy Toy,https://play-lh.googleusercontent.com/a-/AOh14GjIgnbjZiMbInTbDtdkqqXeaOEyNw0zYoI2_H-g,"Won't let me log in. Un-installed! The other one says my phone wasn't set to the right time. Ditched that one too. Stuck with the old one, at least it works...",1,0,,2012-12-17 14:11:18,,,most_relevant,com.anz.android.gomoney
lg:AOqpTOEXK2BW1chkWiu3BvjHlLaa_vd__DGfafz4titc1Q8Ed0P9cBtW13M12AmqdLzjAMpBLGojVM5tJVYahFg,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Working really good on my Samsung galxys2,but not working at all on my Acer tab a501.so finally they made something good which doesn""t work properly.",1,0,,2012-09-22 08:03:03,"Hey, have you had a chance to download the updated version of ANZ goMoney? It provides support for Android tablets. Download the update and let me know how it goes. Thanks ^Leon",2013-03-28 09:50:22,most_relevant,com.anz.android.gomoney
lg:AOqpTOFaZC9_PmVUBlndIsYIrM0ntRFlNFtbyVba_I_ahBCJe1kVQu5-vshrAlNQSUmHFJIG0YS15mGwrX2CO34,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,This app works the first you install app and when ever it wants to. I can log in but it does not display any of my acconts . I have 4 accounts attached and nothing comes. Neee to fix the bug.  Ta,1,0,,2012-11-05 06:18:17,"Hey, we're aware of this issue and have a fix for it. Can you please to go to Settings, Developer Options, Don't keep activities and ensure that this is unchecked - you should now see all of your accounts! Let us know if that works for you. Thanks, Mobile Banking Team
",2013-01-16 06:13:51,most_relevant,com.anz.android.gomoney
lg:AOqpTOFpez3Wx1ivhKUvQOZok7nJD-jW6kYXJsAwdSa89sFkMyFKaOaH0AZ48-IFv6NFqEZp7psXTxpTm1j33z4,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,very poor app too bad android :( iphone version is much faster very fast on my iphone 5 :]],1,0,,2012-09-29 20:42:48,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOEtDm8D_CoBajgohlr8oR6360rUQidrA4ns130j5HlkfiwsW2kw3TJ4tZBKRChjHF4fuLEaHTJN_FLPwqQ,Alan Lukic,https://play-lh.googleusercontent.com/a-/AOh14GgV8imkUmcfOtmjNiAx3Md2jAoMx3JqiD0tl8yRSQ,Cant copy and paste username,1,0,,2014-08-14 14:47:01,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOHxW-wRwZwFTv6By2xujgu_SpqBicyphD_UMZIGfkmmLq3uZms3Us41uXilePpTUCUEgx0fy5ZLnUaRNF8,John charitos,https://play-lh.googleusercontent.com/a-/AOh14GjiDc8Ji8d2adYROVj7WIAH0rjEr6rGW54Kh-eSJA,Cbb salary sacrifice needs to be supported to check on the go,1,0,,2013-04-09 23:17:24,,,most_relevant,com.anz.android.gomoney
gp:AOqpTOHp_pycIs-vP9TOdLTy-PhRRCAYx9I-cTy-cRBB8LTdBVhcVFp7zVdGeuN5lDFmq4-R-9zOTDE5FjwpUrk,Ole Taemtan,https://play-lh.googleusercontent.com/a/AATXAJx5bcaJT6Yd1bcop6IYC8XUO8NHfw2WAZz9uZtr=mo,It won't download,1,0,4.33.0.0139,2021-06-28 15:08:00,,,newest,com.anz.android.gomoney
gp:AOqpTOEq4keR_JslQZNZNQxuFL6d-oLY41_SO2OwlZzgXzUSfLOSVNb2G8oHG-T9qo5Sy6kvoSvfIGlgsOUkGKw,Chris casey,https://play-lh.googleusercontent.com/a/AATXAJx1ZdAiG79LLLlS5lJHVAgrX6-3raIk8-I6v57J=mo,It is Pisssing me Off upDateing the App 2 to 4 times A Year Again and Again No Choice ?~ Again Liveing and Workin on A Farm with no Wifi +A Very Weak Phone Signil Havein To Up Date Sumthing That Has No Problems JUST SO YOU CAN SEE WEAR I SPEND MY MONEY I WILL CHANGE BANKS BECAUSE OF TOO MENY UPDATES,1,0,4.33.0.0139,2021-06-28 11:31:34,,,newest,com.anz.android.gomoney
gp:AOqpTOHVHy67L-rj7XS1wvcYEW3jwK_hZpNRbFQ1OWrfSqwZL640y8vcEs4beMEVRLmaTj8ZtC-sYGj9EhrcUaQ,Cory Connell,https://play-lh.googleusercontent.com/a/AATXAJwBF52Hpy-3qD1jyYXvz7flSMlUO7_d726zsnpl=mo,Take away distracting messages asking for a rating during transactions,1,0,4.35.0.0145,2021-06-28 02:47:30,,,newest,com.anz.android.gomoney
gp:AOqpTOGRWz5nHBpoqNmSo76vpaBE13Pg1rOXMa-XwRhMn2Bjd-61pvtXbqBMR4OOwQBJb0c_kO3b3YjLEJQAfPg,Samson Vara,https://play-lh.googleusercontent.com/a/AATXAJxTg2exE38Jn9bVUJgQjqYGwdNDJ_HLjZD9a-9U=mo,"Why I am going to update this app every time when I want to use ,is it okay or some want to Huck my account",1,0,4.33.0.0139,2021-06-27 04:55:14,,,newest,com.anz.android.gomoney
gp:AOqpTOE07jsV7-aD2cxg_ZzOKzY0X_5FxTKW3lChLG1kpTR7rFcsszBCUJHSxWWkGGe4g4ChNieYeyEoyGSGSfE,Kareena Thompson,https://play-lh.googleusercontent.com/a/AATXAJz8X-vQ6n6nePMTjmzSCZhiDmRVZ_p3FJQCuZpP=mo,I have to delete other apps to update,1,0,,2021-06-26 23:13:35,,,newest,com.anz.android.gomoney
gp:AOqpTOEDi7jzmztAg8M15-I1odZuXp7CFm9BhXvn5J11nWH8d4hz9l2Wp9G2AeqHjTwr34WP9mUQS8Xd5jdzjvU,Sam Dobbin,https://play-lh.googleusercontent.com/a/AATXAJzALYtvrprnbRad-1-gmX5YOaJXPaoDZlbP0Ls=mo,Takes to bloody long leave things alone it was ok,1,0,4.33.0.0139,2021-06-26 14:30:09,,,newest,com.anz.android.gomoney
gp:AOqpTOGgF2Xo2_Iazey7qTFK39iHiJFnLc3ooi6htOTfgisrfmesegihqRgE5TTDsuxheAzkz51p9yIPu3UeeYg,David Kendall,https://play-lh.googleusercontent.com/a-/AOh14GjHS-L5gSPJYqk_XRy_R_8lX6amFqISi2egUOuQcQ,I can never view my account??,1,0,4.35.0.0145,2021-06-26 09:14:22,"Hi David, thanks for letting us know. That's not what we'd expect to happen so we'd like to investigate this further for you. Can you please email mobile@anz.com and kindly include your device type, operating system, ANZ App version steps the replicate the issue and screenshots of the issue? Thanks, Aly @ ANZ App",2021-06-28 10:13:30,newest,com.anz.android.gomoney
gp:AOqpTOGLndjAs6VaMSx4m7jLZ8JA94kbH-DJz29sz6XKCwGFHxaZ2FCYleMushLTDZ8bZ_xZqYPnXQSJAkJdWds,Neville Haskin,https://play-lh.googleusercontent.com/a/AATXAJw3aO-_Bd1AWfi8b58TCv_tAzupH5GsCaXqKdJ1=mo,Up The. S. T very bad service by Optus Extremely hard to use or get to my details,1,0,4.35.0.0145,2021-06-26 05:07:28,,,newest,com.anz.android.gomoney
gp:AOqpTOG8e7jdeWeSsfNEzewatN0UAxpbR1rOLzYcT1x7K87Lz8sgkWzIHLSrLv4APYphP_YKg3OIP7bmvoGlWLY,Paul Goode,https://play-lh.googleusercontent.com/a/AATXAJyH-FWlgHRcWf-ETFf98D-S8zJvSFZbrzoJ3qTz=mo,Good enough.,1,0,4.33.0.0139,2021-06-25 13:40:13,,,newest,com.anz.android.gomoney
gp:AOqpTOF32MC-RcyJRbHqIgAt_UCBE3nUzuv-ntwqOsoCemudiqwCPlwXGHogqW-xbzJ4Ha4qOhu6bD_eiQvKg8U,Edwin Graham-Vanderbyl,https://play-lh.googleusercontent.com/a-/AOh14GiPs0p9a4x7TGETgjb8kmL-1jczr6Geie_GYotpvA,No Good,1,0,4.33.0.0139,2021-06-25 12:08:33,,,newest,com.anz.android.gomoney
gp:AOqpTOHm4kAHJUWG6A3bKOk51c7yI0mt6gealZ2dvBR3PAbqHwSQvaa1Kui0cqhqEVgHsktIdhEapisXRiQUGEc,Aidan Mephan,https://play-lh.googleusercontent.com/a/AATXAJwBREpFstMN-lOicPJVQ-e-3OuOSKjCXxHqDpFL=mo,Forced updates. Uninstalled.,1,0,,2021-06-25 10:28:54,,,newest,com.anz.android.gomoney
gp:AOqpTOHsYPn13gRCorqfUkRLgwUGlfw83SrqOKJhO2JrH3XKu9mp8Lshu-ECGy-KL_R3JGgSia6705vzM3BC1xo,Natasha Fiore,https://play-lh.googleusercontent.com/a/AATXAJzhY0omKSS0SsU96J2HdldGX-tY6l-WUU3Elgnw=mo,"Always making me update, I don't like updates and shouldn't be forced to do so!!",1,1,4.35.0.0145,2021-06-25 04:36:54,,,newest,com.anz.android.gomoney
gp:AOqpTOGbCqUdOsBbp73Nw54mX2ryXidY0OX5YUA_zuaNKyVFsZmdsuleDp3K1r69DD1emrNfpa9vR88AcA_itb4,Anthony Pilcher,https://play-lh.googleusercontent.com/a/AATXAJwY52oRr3YEI11_SttS-M4IXjSPZgcT9BgdXhO9=mo,There was nothibg wrong with the old app. Why should l have to delete other apps to continue using the anz app? I was happy with the old app but you keep changing. Why?,1,2,4.35.0.0145,2021-06-25 04:29:26,,,newest,com.anz.android.gomoney
gp:AOqpTOGY_1E5ppTKbRHlCpB5QJdZnOs0US8Dl_J08q1qbfR0wHybpokp-fSeTZKyo1-kRZfYw0xgr-0_sp1nnD4,Luke Spencer,https://play-lh.googleusercontent.com/a/AATXAJwrbGjSeLQoXWeRV6OHI3BAcn1HH4yMCVUblPqC=mo,"Hate the forced updates, enough to make me consider another bank entirely.",1,0,4.33.0.0139,2021-06-25 03:45:10,,,newest,com.anz.android.gomoney
gp:AOqpTOE1NoMx95Jw_i1GYPz9oxJdV_sVUQPuTtxkCUkjHsAfHKjiu1VOHtu_eaFa56bIE7I8nmZgehFUW8YoCvM,rita simon,https://play-lh.googleusercontent.com/a/AATXAJxKCZ8Bg6UIbYpgMHzSDeyyZ5ExMq_23rSgar5o=mo,"This ""UP DATE"" for anz banking app is holding its loyal customers to ransom by not allowing us procceed to move on once we have put our pin no. in unless we accept ""UP DATE""...this is happening when i need to move money around in my accounts so i can pay my bills but it wo t let me get into my accounts, how much of a bully tactic is that, i may move to another bank, i have been with this bank for over10years, its anz banks way or nothing, no loyalty to its loyal customers...",1,1,4.33.0.0139,2021-06-24 22:01:40,,,newest,com.anz.android.gomoney
gp:AOqpTOHPqSu5lJDFRXABG6vcbfTBDIEz9a3dJIUIcl7RCmbLS0hQWKRCA14mg-Ft6VHSjXCtVpo_U-g0KH4KDBI,dennis craig,https://play-lh.googleusercontent.com/a/AATXAJxXXm3jT-r9_j-M0zdng00SW69BfHxEx4Y8BwZo=mo,Will not update or load,1,0,,2021-06-24 19:44:39,"Hi Dennis, thanks for letting us know. That's not what we'd expect to happen so we'd really love to look into it for you. Could you please email mobile @anz.com and let us know what version of the ANZ App you're using, steps to replicate the issue and include any screenshots of any errors? Thanks, Aly @ ANZ App",2021-06-25 10:14:11,newest,com.anz.android.gomoney
gp:AOqpTOEim90DQ5OuSWQ_mWdwRYsk-AU_eMu6NC_8jfynIv3TXfozfV_eTGObtdoU019nkAG0Sw4e_nBtG6gs41M,Rhys Evans,https://play-lh.googleusercontent.com/a-/AOh14GgDMZ708RCUAs76FX9crlsfg0GNw4HvYcHnKNneRtc,It doesn't work in POCO F3. App keeps auto closing before I can type in my pin,1,0,4.35.0.0145,2021-06-24 11:23:41,"Hi Rhys, sorry to hear about your experience with the ANZ App. That's not what we'd expect to happen so we would like to look into this further for you. Can you please email mobile @anz.com and kindly include your device type, operating system, ANZ App version and screenshots of the issue? Thanks, Aly @ ANZ App",2021-06-24 12:42:02,newest,com.anz.android.gomoney
gp:AOqpTOEdzxKqTBqVQ4NNICNPMGVgHhPbyMl_0IZL_2iESsdEbKwIAhIdBG1O-EHjOSaNof80qb8DMd0jv1cKJow,Alan Woodmore,https://play-lh.googleusercontent.com/a-/AOh14GizISGGTbFu2ZFD4NmjU9GuASjoSsQvrx5lqykOnA,"Just got a new tablet, cant log on to this app. It wants me to register first, and then it tells me im already registered. I cant do that because it will onlty let me add a pin and not a password.",1,0,4.35.0.0145,2021-06-23 14:23:30,"Hi Alan, thanks for your feedback. To log in with a password, press Register, enter your CRN and tap Continue. The next screen asks for a PIN, underneath this - tap 'Use Password or Telecode instead'. The screen after will let you enter your password. If you are still experiencing issues, please email mobile@anz.com and we can you help further.",2021-06-24 12:41:19,newest,com.anz.android.gomoney
gp:AOqpTOHi3mPK3oOQwgYvS8Wh-Q8zMkYfLRuMWpADQ3fzl7UHI0O_06ympgDpIy-AeUHhBxNvxBmFaYai83qucuA,Sengor Kusturica,https://play-lh.googleusercontent.com/a-/AOh14GjPqXpOonb_K7YeL_knWLi5zXcOVA6kXXBcrVYPiQ,Stop using this app. 4 embedded trackers! ANZ eventually force an update of your old ANZ app which had fewer embedded trackers. I don't want to have Adobe or Google or New Relic reading my bank account details through this app. The latest version has 4 embeded trackers: Adobe Experience Cloud Google Firebase Analytics Google CrashLytics New Relic,1,1,4.35.0.0145,2021-06-23 12:13:40,,,newest,com.anz.android.gomoney
